,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Ai Xiaoming, quien fue incriminado a muerte, renació ese día en 2008. Después de renacer, tiene la intención de perfeccionar su vida anterior y encontrar a su enemigo ..",Shounen,MANHUA,Mago Renacido ( 2037 ),"Magia, Reencarnación, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f49beb66f758.jpg,62,323,454,109,76,55,1c93d9e8-c940-4a5d-96d8-8e830a4716a5
1,Una historia corta sobre la vida de Ali.,Kodomo,MANHUA,Ali's Dream Castle ( 2009 ),"Aventura, Fantasia, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ca986df19ce6.jpg,22,54,60,8,4,6,c47b9e3a-1470-4608-8d1c-4e7d5f657229
2,"¿La joven que desintegraba instantáneamente el avión y hackeó el portaaviones con su hacha y me llamó ""cariño""? ¡¿Esos dos niños raros que no se parecen a los humanos en la Tierra realmente me consideran su ""padre""? ¡¡Qué diablos está pasando!! ¿Quién era el joven de cabello plateado con pupilas rojas que apareció en el libro fragmentado? ¿Realmente puedes robar el tesoro número uno de tu vida como novato?",Kodomo,MANHUA,The Space Invade ( 2020 ),"Acción, Aventura, Comedia, Fantasia",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f1c3cd1949f5.jpg,10,43,47,9,7,1,4fc239c2-039a-42b2-846d-a0c4a5877774
