,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,¡Sigue las aventuras de Cat Loaf y otras delicias de pastelería!,Kodomo,MANHWA,cat loaf adventures ( 2017 ),"Aventura, Comedia, Fantasia, Niños",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b84498fb39dc.jpg,28,84,139,31,12,17,5ef0b9da-304a-4794-bdda-669774fa3187
1,La divertida y maravillosa vida cotidiana de una joven pareja después de conocer a niños misteriosos que encuentran el camino hacia ellos.,Kodomo,MANHWA,El tigre que va entrando.,"Comedia, Familia, Niños",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ff4bc251808d.jpg,54,206,352,115,55,20,912bf35e-303d-498b-8506-b1bc893e2fe9
2,Información no completada,Kodomo,MANHWA,Trash bird ( 2018 ),"Comedia, Historia",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/600e5d344d6c3.jpg,14,51,61,15,15,8,67b4396d-3849-44af-90c5-b4ae6f59d63c
3,Una chica que le encanta tomar fotos y un niño que sueña con ser una estrella de rock; sus destinos se encuentran.,Kodomo,MANHWA,Snap! Rock Scandal! ( 2014 ),"Musica, Comedia, Drama, Romance, Vida Escolar",8.75,PAUSADO,https://otakuteca.com/images/books/cover/15337_TMOManga570828358d770.jpg,24,69,61,3,2,3,a1dc6436-bafd-451c-b022-8c5f5629a5f4
