,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
23,"Hace referencia a la ópera del mismo nombre (Carmen). Un soldado y un matador de toros viven una relación de amantes. Pero como quién tienta al destino, el soldado comienza a sentir celos de una mujer quién coquetea a su querido matador de toros; Carmen.",Josei,MANGA,Carmen ( 2015 ),"Drama, Boys Love, Tragedia, Historia",7.51,FINALIZADO,https://otakuteca.com/images/books/cover/13588_TMOmanga161454.jpg,729,256,134,49,30,15,ae64b4e9-f017-41ac-9a2d-25cf4c9226e2
24,Sin descripción.,Josei,MANGA,Natsuiro Moratorium ( 2015 ),"Vida Escolar, Boys Love",8.65,CANCELADO,https://otakuteca.com/images/books/cover/19761_TMOManga57cc5f7122b64.jpg,402,838,990,54,46,138,ee03bf7f-8e07-41b9-80dd-f30dbf942af5
25,Un corto Yonkoma sobre una loli con una mirada malvada y sus dos nuevos compañeros de clase.,Josei,MANGA,Sakurairo triangle ( 2012 ),"Comedia, Girls Love, Romance, Vida Escolar",4.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d2b89b38e60b.jpg,111,99,266,30,23,7,fa1d93ff-bb4a-4c57-b7ab-fbe20acbac45
26,Información no completada,Kodomo,MANGA,Rucchiifu's Lovey Dovey Couple ( 2019 ),"Comedia, Romance, Vida Escolar",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f01f37f20f7f.jpg,61,190,629,71,28,20,b17b86d0-2113-43a9-9ce8-d663c4e4180a
27,"""La historia es narrada por Corona-kun y se encuentra radicado en un mundo donde la humanidad fue extinguida porque no pudo conseguir la contención del virus, allí se estará hablando con anécdotas divertidas sobre cómo la humanidad podría haber manejado mejor el problema"".",Kodomo,MANGA,Corona-kun no Tsuioku ( 2020 ),"Animación, Apocalíptico, Drama, Historia, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5eb2371b142cb.jpg,38,122,213,42,22,20,2fc343f7-02e6-4c2d-9239-0157a97ca712
28,Sin sinopsis...,Josei,MANGA,Flower Language of a Hydrangea ( 2016 ),Boys Love,8.20,CANCELADO,https://otakuteca.com/images/books/cover/29744_TMOManga598fcbb207b1e.jpg,630,219,177,52,34,27,df8bf595-2ebc-4222-88af-92b9f8dcd122
29,"Una chica de la era Edo que de alguna manera viajó en el tiempo al Japón moderno y encuentra a la encarnación de su fallecido amor en Tokyo... Un estudiante de primaria que no quiere nada que ver con ella. Una historia sobre ""conocerse a si mismo""",Kodomo,MANGA,En wa Inamono Ajina Mono ( 2016 ),"Romance, Comedia, Sobrenatural",8.30,FINALIZADO,https://otakuteca.com/images/books/cover/15441_TMOManga570fe1f07f0f4.jpg,880,407,470,38,24,12,8056efd7-0c0b-424b-a03e-6df2b17f980f
30,"Relata las aventuras de un pomerianian, Mochi, y su compañero de vida.",Kodomo,MANGA,Mochi is a pomerania ( 2018 ),"Comedia, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bb36210359c3.jpg,23,108,167,26,15,12,ebdcaccd-de73-46ff-a257-d220d0559670
31,Una tienda de flores BL cómica sobre la relación floreciente entre Reese y Prince.,Josei,MANGA,BLOSSOM BOYS ( 2037 ),"Romance, Boys Love",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/28129_TMOManga595b31d8c964b.jpg,299,269,211,37,26,16,4c73d9d5-22b3-47fe-b15d-77fe53616b4b
32,Información no completada,Kodomo,MANGA,Chigake-chan black ( 2013 ),"Comedia, Género Bender, Harem, Romance, Vida Escolar, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d34c71ae8f1c.jpg,57,98,137,31,23,23,26ad1b72-d134-43f4-978a-06e153590321
33,"Después de salir por medio año, Masaaki decide llevar la relación con su senpai a otro nivel. Reúne coraje y se lo dice justo antes de la víspera de Navidad.",Kodomo,MANGA,Nan demo Shite Ageru ( 2016 ),"Comedia, Ecchi, Romance, Vida Escolar",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/29643_TMOManga598b81e6b971f.jpg,529,122,149,26,13,5,33d2268e-f1c9-4c5d-a319-9a6b6e7bbcfd
34,"Kaito sospecha que la petición que le hace Shinichi de tener sexo es un plan oculto para descubrir su identidad. Él decide seguirle el juego, pero ¿hasta qué punto estarán dispuestos a llegar?",Josei,MANGA,Tormenta de Agosto ( 2015 ),"Comedia, Boys Love",7.06,FINALIZADO,https://otakuteca.com/images/books/cover/31274_TMOManga59d0cb061a48d.jpg,500,235,136,27,23,20,b423082a-5610-4c80-9b53-27aa5e47acaf
35,Este manga fue publicado por Iwaaki @meganeya_iwak en Twitter.,Shounen,MANGA,Un inventor y su asistente ( 2019 ),"Comedia, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5cde4be54f06f.jpg,72,108,299,15,17,4,b82e8911-b3ca-4439-8443-4731174b9f47
36,Información no completada,Josei,MANGA,El resultado final de los esfuerzos de una chica entrometida ( 2037 ),"Comedia, Harem, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e2a5e16a51c8.jpg,29,73,198,14,7,8,79536960-fe6c-4f5d-86b4-16e7e24bcbcb
37,"En un continente lejano, donde el sol brilla con esplendor, En Sarckomus, una ciudad repleta de vitalidad, donde se localiza la ACADEMIA, una organización que se fundamenta en formar muchachos jóvenes, para ingresar al sistema de elección de gremios, y así recorrer el camino de un mercenario, en busca de aventuras, dinero y fama..",Kodomo,MANGA,Unlimited World ( 2037 ),"Acción, Aventura, Comedia, Demonios, Fantasia, Ciencia Ficción, Superpoderes",0.00,CANCELADO,https://otakuteca.com/images/books/cover/5b2dbf6941ce7.jpg,13,57,116,3,1,10,223a7b88-5721-4043-858d-17a968aec334
38,Vida cotidiana de una pareja,Kodomo,MANGA,Magic Patch ( 2016 ),"Género Bender, Romance, Comedia",8.37,FINALIZADO,https://otakuteca.com/images/books/cover/22899_TMOManga588fa09d0eb32.jpg,372,72,138,23,9,2,21738e24-0454-4161-93e9-fd6bffee7a29
39,One-shot anthologies de manga con trampas. Cada volumen lleva un subtítulo.,Kodomo,MANGA,Josou Shounen Anthology Comic ( 2010 ),"Comedia, Género Bender, Ecchi, Romance, Vida Escolar, Recuentos de la vida",7.89,FINALIZADO,https://otakuteca.com/images/books/cover/29913_TMOManga599a6316e55a9.jpg,142,117,157,13,14,10,f8e3a448-2a91-45d7-b8ec-e099f4d6c70b
40,"Dos pequeños niños de una isla, sueñan con ver el exterior.",Kodomo,MANGA,Island ( 2016 ),"Aventura, Comedia, Drama, Fantasia",8.06,FINALIZADO,https://otakuteca.com/images/books/cover/14144_TMOmanga215123.jpg,104,76,63,11,6,6,edd01a0c-b738-40b6-b31d-1e539e9cd4ca
41,La serie 4Koma para Uma Musume: Pretty Derby!,Kodomo,MANGA,UmaYon - Mini Comics ( 2019 ),"Comedia, Vida Escolar, Recuentos de la vida, Deporte",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f46c04643c8b.jpg,5,47,58,21,8,0,bd8a1a62-954c-4d34-b460-e5df6eb8c5fc
42,"""Twitter"" es un servicio web que es extremadamente popular en todo el mundo que ahora publica y comparte oraciones cortas con 140 caracteres o menos. Y este es un rumor ... parece que hay una interfaz humanoide para observar a los usuarios y desarrollar funciones para mejorar más los contenidos del servicio. Esta chica se llama ""Twitter-san"".",Kodomo,MANGA,Twitter-san ( 2016 ),"Comedia, Romance, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d37be7c4abda.jpg,11,58,127,15,9,3,be0356fe-f1bc-4541-8a28-b1deee323f62
43,Una historia corta sobre una chica que es nueva en ser un fantasma.,Kodomo,MANGA,La nueva fantasma ( 2019 ),"Comedia, Romance",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5cb66c142ce66.jpg,43,28,58,14,12,2,1b7935d2-db6f-4ddf-ac68-0be7b97800e0
44,Spinn-off de hanebado publicado en su cuenta official de twiiter,Kodomo,MANGA,はねバド！ぼっち ( 2037 ),"Comedia, Vida Escolar, Deporte",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b70850b46741.jpg,6,62,92,14,6,3,149e6cbd-bdff-4658-aa9a-517ead0462d6
45,"Los Bladebreakers están de regreso con una nueva historia, una nueva historia creada por Takao Aoki, mismos personajes, nuevos Beyblades, una nueva aventura",Kodomo,MANGA,Beyblade Rising ( 2016 ),"Acción, Aventura, Comedia, Deporte",8.44,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/27294_TMOManga5934bb28ca818.jpg,32,60,74,9,4,0,fbc66913-bcb5-4f06-962d-be85995252ef
46,"Axel es un chico el cual ha tenido una vida dura, tras diversos acontecimientos aprendió las diversas artes místicas y ahora se propone graduarse en el instituto ""Tria Eyes"". Pero su destino le aguarda otra cosa.",Kodomo,MANGA,Rebus ( 2037 ),"Acción, Fantasia, Gore, Magia, Artes Marciales, Ciencia Ficción, Sobrenatural",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b6d9a5dc2fe5.jpg,5,76,108,4,4,11,424f1f3a-48fa-4233-b7e0-b9013ecf9dd4
47,"Una historia realmente corta sobre una princesa (mokona). Publicado en 2 versiones, un formato de libro 3d y un manga regular.",Kodomo,MANGA,Mokona Oujo no Ehon ( 1994 ),"Aventura, Comedia, Fantasia",7.57,FINALIZADO,https://otakuteca.com/images/books/cover/30476_TMOManga59ac3b5a8f4e3.jpg,79,117,31,10,4,0,402293f2-29e8-4f14-817b-152b6f4d6473
48,Es una manga amateur. Cuenta la vida de un par de gemelos con cuernos.,Kodomo,MANGA,"""Los Gemelos Cuerno"" ( 2020 )","Comedia, Familia, Fantasia, Niños, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e49ee9ce6b31.jpg,6,47,53,8,5,1,2f840efe-0220-4f6f-8d9b-733c281ce73d
49,"En la historia, una chica de nombre Mai, se aparece ante un chico que detesta la Navidad, debido a que nació un 24 de diciembre y por tal motivo fue llamado Santa, junto que no ha tenido nunca una fiesta de cumpleaños. Por esto, Mai decide ayudarlo, con los poderes de Santa Claus.",Kodomo,MANGA,Itsudatte My Santa ( 1998 ),"Comedia, Magia, Romance",8.13,FINALIZADO,https://otakuteca.com/images/books/cover/13846_TMOmanga143428.jpg,217,121,88,5,7,3,12a3b441-7d56-48cb-9804-377aad53d322
50,"Basado en un anime Universal Century 0079.03.18 - El Principado de Zeon lleva a cabo su tercera operación de caída. La cuarta división móvil terrestre baja a la Tierra. El suboficial principal Cuaran llega a la Tierra como parte de la 908ª compañía de reconocimiento móvil. Más tarde sería el hombre que intentó destruir el ""mobile suit blanco"" de la Federación, el temido ""Gundam"".",Shounen,MANGA,Mobile Suit Gundam U.C. Hardgraph: Iron Mustang ( 2011 ),"Acción, Mecha, Militar",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bb059b9d7eb2.jpg,6,49,86,16,1,3,280f5105-70d1-45c9-bbfd-2ad6b4139655
