,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
1141,"Suzuki Ryuuto es un estudiante universitario tímido e introvertido. Todos los días pone una sonrisa falsa, haciendo todo lo posible por mezclarse con un grupo de estudiantes extrovertidos incluso a pesar de las bromas crueles sobre su virginidad. Pero un día, llega a una fiesta donde se encuentra con una hermosa chica, Kokoa. Según su petición, comienza a fingir ser su novio para alejar al acosador que acosa a Kokoa. Ese tierno amor fue el comienzo de una tragedia ...",Shounen,MANGA,Kimi ni Koisuru Satsujinki ( 2020 - 2022 ),"Drama, Psicológico, Romance, Gore",6.86,FINALIZADO,https://otakuteca.com/images/books/cover/644de624427d7.jpg,1.5K,4.1K,7.3K,1.7K,796,515,7352df78-9588-4306-8688-f8cfef13d4b9
1142,"Nishino Gokyou, es un aburrido estudiante de secundaria en medio de la casta escolar, y es el que tiene las mayores habilidades en el vecindario. Él aceptaba tener un vida solitaria hasta que llegó el otoño en su segundo año y decidió darle un cambio de página a su vida y hará todo lo posible para que así sea... ¿Qué hizo ese cambio en él?",Seinen,MANGA,Nishino: Gakunai Caste Saikai ni shite Inou Sekai Saikyou no Shounen ( 2019 - 2020 ),"Acción, Ecchi, Vida Escolar, Sobrenatural",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d027852a6735.jpg,346,1.3K,2.7K,500,338,261,1be6ac28-a037-4d5c-b349-ebb3f5c16951
1143,"Secuela de ''Mi Pequeña Senpai es Demasiado Linda''. Habiéndose convertido en pareja, Takase y Komai exploran las complejidades de una relación amorosa y cómo se convierten en personas más fuertes con el apoyo mutuo.",Seinen,MANGA,Chicchai Kanojo Senpai ga Kawaisugiru. ( 2019 - 2020 ),"Comedia, Romance, Recuentos de la vida",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e94da2288c7c.jpg,945,926,1.6K,446,200,75,dd8740ea-daa2-42ab-a7d2-cf43d6acafb9
1144,"La historia se centrará en dos niñas de secundaria que se conocieron en la escuela primaria. No se llevan bien ni se gustan en absoluto. A pesar de eso, se desarrolla un vínculo extraño entre ellas.",Shoujo,MANGA,Daishinyuu ( 2019 ),"Girls Love, Comedia, Vida Escolar, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5fd663ff5de92.jpg,135,761,1.5K,334,154,108,8fb750c4-1c7f-4072-b9a7-4189ee6cc52b
1145,Esta historia nos presenta el alma perdida de un solitario mangaka cuyo corazón se ha consumido.,Seinen,MANGA,Reiraku ( 2017 ),"Drama, Recuentos de la vida",8.74,FINALIZADO,https://otakuteca.com/images/books/cover/24002_TMOManga58c7d99a86fde.jpg,1.1K,1.5K,1K,237,115,32,5ad8560d-0ef7-4ffe-ada9-ff256a2406d7
1146,"Después de perder un ser querido, Tooru Konoe se inscribe en Kouryou Academia a fin de obtener un , un arma que es su alma que se manifiesta, por el bien de la venganza. Él estaba esperando un arma ... Lo que obtuvo fue un escudo ... ¿Cómo ha de buscar venganza con algo que no es ni siquiera un arma ?!",Seinen,MANGA,Absolute Duo ( 2013 ),"Acción, Ecchi, Fantasia, Sobrenatural, Romance, Harem, Vida Escolar",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/8944_TMOmanga095429.jpg,1.2K,2.6K,3K,445,194,162,8471c6f2-3881-44bc-af4b-1db874f35a87
1147,"Makoto Toba odia a todos en su clase. Todos excepto Sakura Toowa, una chica introvertida de secundaria que vive con su abuela y ama los videojuegos. Pero un día, Sakura desaparece (?) Justo en frente de Makoto. Makoto continúa visitando el sitio de su desaparición en el aniversario durante los próximos 16 años. Es decir, hasta que Sakura regrese del desliz de tiempo en el que estaba atrapada, y para ella no ha pasado un momento. Ahora a los 32 años y con una novia, Makoto tiene que cuidar de su enamorado de la infancia de 16 años. ¿Qué podría salir mal?",Seinen,MANGA,SEISHUN NO AFTER ( 2014 ),"Drama, Romance, Sobrenatural",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5f713253a7892.jpg,224,611,1.2K,286,119,85,d108c4a0-3a85-4542-b6d7-db772339d467
1148,"Himeko Hanatsuba tiene 12 años y Bunji Tsuchiya 30 años. El estado de su relación es de: ""Comprometidos"". Esta historia se ubica en la Era Taisho, cuando la cultura occidental moderna se estaba extendiendo constantemente en Japón. En esta atmósfera inquietante y vibrante, los dos, que se llaman ""Bunji-sama"" y ""Prometida"", desarrollan lentamente su amor superando la brecha de edad de 18 años.",Seinen,MANGA,Smoke & Honey ( 2018 ),"Historia, Romance, Recuentos de la vida, Niños",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/6337607f74d3e.jpg,297,708,1.6K,423,193,88,3614cfbb-b83a-4aee-8cf1-02dca43ddfc2
1149,"La isla Hoffman es una tierra que surgió de las profundidades debido a erupciones volcánicas hace más de tres décadas, ahora, está dividida por un incómodo alto el fuego entre dos grandes potencias mundiales, la USN (Estados Unidos del Nuevo Continente) y la OCU ( Unión Cooperativa de Oceanía). El alto el fuego se ha mantenido durante 20 años, pero ahora las tensiones están aumentando, y parece que la guerra abierta estallará de nuevo pronto. Matsuda Akira se ha unido al equipo de informes in situ para NNTV. ¿Están él y sus colegas realmente preparados para los horrores que enfrentarán si se los atrapa en medio de una guerra?",Seinen,MANGA,Front Mission - Dog Life & Dog Style ( 2007 - 2012 ),"Acción, Drama, Mecha, Psicológico, Ciencia Ficción, Tragedia, Guerra",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5b272ec21ca63.jpg,147,575,1K,125,54,50,e9e9df6f-bd4b-4ec2-9634-c7bc28011189
1150,"Sanada Akihito, un estudiante de la Academia Yotsuho ha sido perseguido por el espíritu maligno de una chica muerta. En el exorcismo de este espíritu, que una amiga estaba intentando hacer, el espíritu se las arregla para poseer a una chica de la clase de Akihito, ahora el espíritu tiene su cuerpo y también tiene deseos mundanos que satisfacer, ¡y Akihito se parece a su novio anterior! ¿Que pasara entre el espíritu y Akihito? Descúbrelo en la siguiente historia…",Seinen,MANGA,Pink de Pink ( 2007 ),"Ecchi, Comedia, Harem, Romance, Vida Escolar, Sobrenatural",8.77,FINALIZADO,https://otakuteca.com/images/books/cover/634f9c0b61dda.jpg,2K,1.3K,3.1K,242,147,109,8a82fa86-a378-490e-b3f9-efd92ae9c6db
