,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
10,"el hijo del maestro del campus está matriculado en la escuela secundaria, y no solo se ha olvidado de todas las mujeres hermosas que lo rodean también de las flores mas hermosas y arrogantes de la escuela y la líder de la clase pura y encantadora y de la chica más sexy, cosas así solo traen problemas y se volvería un completo dolor de cabeza.",Shounen,MANHUA,Mal sin igual ( 2020 ),"Acción, Harem, Artes Marciales",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f03bbda51a3d.jpg,698,1.9K,4.8K,1.2K,683,354,23b2187b-56c2-4cf1-9cea-8eff0558062f
11,"El tiempo se ha invertido, Qiu Yi se convirtió en una chica, pero aún existe una versión masculina de él en este tiempo... 【Todavía soy yo?, Exactamente quién soy?】 ¿Qué tipo de chispa se encenderá cuando él, que ahora es chica, se encuentre con su versión masculina?",Shounen,MANHUA,I Am My Wife. ( 2016 ),"Comedia, Género Bender, Sobrenatural",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b4a51a668dcd.jpg,657,3K,5.9K,794,477,522,4ffad596-e3d6-4fc7-a81b-b12d37f07931
12,"¿Belleza? No me molestes, estoy muy ocupado aquí. ¿Dinero? Me gusta Pero no demasiado, Derecho Este ese si es mi favorito, ¡MIS Derechos Son Tan Grandes Pero tengo miedo! ¿Me llaman Jiang Ge? Ese era mi nombre anterior. Ahora la gente me llama ""Sr. Jiang"", siempre dice que soy...",Shounen,MANHUA,Sistema metropolitano ( 2017 - 6969 ),"Acción, Comedia, Harem, Artes Marciales, Reencarnación, Superpoderes",10.00,PAUSADO,https://otakuteca.com/images/books/cover/5ec08e87718bb.jpg,2.1K,5.6K,19K,4K,1.5K,1.4K,d6ab96d5-ab39-445f-9b2a-1fe10a90a86d
13,"Año 2056, en una ciudad en el Yuan Jiang Su Jin área. Encima de un apartamento residencial arruinado, quebrado de seis pisos se sienta a un adolescente que lleva un chaleco de combate, los pantalones militaristas, y las botas aleadas de la batalla. Sobre su espalda hay un escudo hexagonal y equipado es un cuchillo de batalla de sombra de sangre. Se sienta en silencio en el borde del tejado. En este momento, el cielo brillante brillaba y había un aliento refrescante en el aire que soplaba hacia él. Sin embargo, sólo había silencio en la ciudad arruinada, desierta, con un aullido ocasional que hace que su corazón salte un golpe.",Shounen,MANHUA,Swallowed Star ( 2014 ),"Acción, Fantasia, Artes Marciales, Ciencia Ficción, Sobrenatural",8.29,FINALIZADO,https://otakuteca.com/images/books/cover/30351_TMOManga59a5034bd2d3c.jpg,43,83,144,10,8,15,90ffc9fa-2ee1-4d58-b68c-db4dc6d6d01d
14,"El protagonista es un artista marcial en la vida real el cual no es capaz de competir por una tradicón familiar, así que para demostrar sus habilidades decide entrar en el nuevo juego Parallel Universe Online (Juego de Realidad Virtual), pero cuando entra se le asigna el rol de ""Mago"", una clase en la cual no puede demostrar su destreza. Espera, ¿Es un luchador y a la vez un mago!? Al parecer el juego tuvo un error y el salio beneficiado. Su objetivo es ser el mejor de todos y demostrarle a su padre que es el mejor artista marcial.",Shounen,MANHUA,Parallel Universe Online ( 2018 ),"Acción, Aventura, Fantasia, Artes Marciales, Vida Escolar",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b8b79bf12ba4.jpg,721,3.1K,6.9K,1.2K,742,578,22f04c25-2a66-404a-af0b-d681d5a78e90
15,"Un bebé nacido de una roca, un pequeño monstruo en la boca de todos, creció y fue enviado con la familia de la futura esposa. Pero nadie sabe que en realidad soy un santo de la espada incomparable que está mirando al mundo. ¿Qué hay si soy un monstruos y el yerno de una familia? ¡Mírame como conquisto el mundo!",Shounen,MANHUA,Path Of The Sword ( 2020 ),"Aventura, Fantasia, Artes Marciales",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e27a880a65ab.jpg,521,1.6K,4K,923,551,259,e563c36a-7111-422e-8611-55e8aa4fecea
16,"¡WuJi, una deidad del reino de la cultivación, usó la habilidad de cambiar el destino, solo para regresar a la ciudad! Esta vez, va a corregir sus errores y compensar todo el arrepentimiento que tuvo en su vida anterior. ¡Riqueza, fuerza, belleza! ¡Todo está en sus manos ahora!",Shounen,MANHUA,Rebirth: City Deity,"Acción, Fantasia, Artes Marciales, Sobrenatural, Reencarnación, Harem, Romance",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/6092a762634ca.jpg,1.9K,4.5K,14.7K,3.4K,1.6K,871,7c487ca1-46d9-43bf-8051-aad47229ff5a
17,Nan Hao y Shang Feng son amigos de infancia que no saben sobre los límites de la amistad. conoce sus épicos y divertidos momentos.,Shounen,MANHUA,Nan Hao & Shang Feng ( 2019 ),"Comedia, Vida Escolar",9.77,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e82d8012e990.jpg,3.8K,14.8K,34.7K,13.8K,4K,1.4K,3746282c-3a6e-4d6c-80ee-b358f02ef037
18,"Zhao Yifan fue transportado a una realidad alternativa después de un Apocalipsis Zombie. Allí, los humanos sobrevivientes se reunieron y construyeron la ""Academia"" como refugio contra los zombies. Sin embargo, a pesar de la seguridad de primer nivel de la Academia, no era más seguro que el mundo exterior infestado de zombies. Mientras estaba en la Academia, Zhao Yifan se convirtió en un mutante con la capacidad de absorber los poderes de otros zombies después de ser mordido por un zombie variante. ¡Para proteger a las personas que le importan, Zhao Yifan debe usar los poderes a su disposición para encontrar una manera de sobrevivir!",Shounen,MANHUA,Infinite Viral Infection ( 2020 ),"Acción, Apocalíptico, Artes Marciales, Reencarnación, Romance, Supervivencia, Superpoderes",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ecf5ee0c6cbf.jpg,885,3.2K,6.4K,1.8K,968,575,cb4e9759-f75f-4dc9-a6fe-4776dc7912f5
19,El pobre estudiante universitario Lin Yang accidentalmente consiguió un anillo y su cuerpo se transformó en un cuerpo que tiene un atractivo único para las mujeres...,Shounen,MANHUA,Poderoso rey adolesente,"Acción, Fantasia, Comedia, Vida Escolar, Harem, Artes Marciales, Romance",5.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ce260a3765d3.jpg,820,2.3K,6.8K,1.4K,641,425,051e87e0-a80b-43bf-9909-d2282e72def6
